ID,name,sex,type ,job title,films,video,range,home
AM,Alexandra Marinescu,2,1,1,1,2,,1
BM,Ben Muenchnow,1,1,1,2,2,,1
BG,Bernd Gnann,1,1,1,1,1,3,5
CAG,Cem Ali Gueltekin,1,1,1,4,1,4,2
CE,Christian Ehrich,1,1,1,2,2,,1
CS,Christine Sommer ,2,1,1,4,1,2,3
CR,Claudia Rippe,2,1,1,1,1,2,1
FK,Felix Klare ,1,1,1,4,1,2,4
DB,Dietrich Brueggemann,1,1,3,3,1,2,1
JKB,Joseph Konrad Bundschuh,1,1,1,3,2,,1
KT,Karoline Teska,2,1,1,4,1,2,1
KS,Katharina Schlothauer,2,1,1,3,2,,1
KO,Kathrin Osterode,2,1,1,2,2,,1
KK,Kea Koenneker,2,1,1,1,1,2,1
KD,Ken Duken,1,1,1,4,2,,1
KU,Kostja Ullmann,1,1,1,4,2,,2
MR,Manuel Rubey,1,1,1,4,2,,3
NO,Nicholas Ofczarek,1,1,1,4,2,,1
NG,Nina Gummich,2,1,1,3,1,4,6
NP,Nina Proll,2,1,1,4,1,3,3
PA,Pasquale Aleardi,1,1,1,4,2,,1
PB,Peri Baumeister,2,1,1,2,2,,1
RY,Ramin Yazdani,1,1,3,4,1,2,2
RM,Richy Mueller,1,1,1,3,2,,
RD,Roland Dueringer,1,1,1,2,1,2,
SD,Samia Dauenhauer,2,1,1,1,2,,1
MG,Markus Glaeser,1,1,1,2,2,,1
MB,Martin Brambach,1,1,1,5,2,,7
MM,Maxim Mehmet,1,1,1,4,1,3,1
MBE,Meret Becker,2,1,1,3,2,,1
MS,Miriam Stein,2,1,1,2,1,3,1
MAW,Monika Anna Wojtyllo,2,1,3,4,1,2,1
ND,Nadine Dubois,2,1,1,2,2,,1
NU,Nadja Uhl,2,1,1,4,1,3,6
TM,Thorsten Merten,1,1,1,5,2,,1
TMA,Tina Maria Aigner,2,1,1,1,1,3,1
TP,Trystan Puetter,1,1,1,3,2,,1
UT,Ulrich Tukur,1,1,1,4,1,4,1
UF,Ulrike Folkerts,2,1,1,4,2,,1
VK,Vicky Krieps,2,1,1,3,1,2,8
VB,Volker Bruch,1,1,1,4,1,4,1
WE,Werner Eng,1,1,1,1,1,2,1
WWM,Wotan Wilke Moehring,1,1,1,5,1,3,9
GVB,Gianna Valentina Bauer,2,1,1,3,1,2,4
HZ,Hanns Zischler,1,1,1,5,1,3,1
HM,Heike Makatsch,2,1,1,3,2,,1
IF,Inka Friedrich,2,1,1,5,2,,1
JJL,Jan Josef Liefers,1,1,3,5,1,4,1
JP,Jeana Paraschiva,2,1,2,1,1,2,
JW,Jens Wawrczeck,1,1,3,1,2,,
JBS,Joerg Bundschuh,1,1,3,2,2,,1
JB,Jose Barros,1,1,1,1,2,,2
1,Drei Zimmer/Kueche/Bad,0,2,0,0,0,0,0
2,A Most Wanted Man,0,2,0,0,0,0,0
3,Add a friend,0,2,0,0,0,0,0
4,Alki Alki,0,2,0,0,0,0,0
5,Alles ist liebe,0,2,0,0,0,0,0
6,Almost Heaven,0,2,0,0,0,0,0
7,Altes Geld,0,2,0,0,0,0,0
8,Amigo Bei Ankunft Tod,0,2,0,0,0,0,0
9,Anatomie 2,0,2,0,0,0,0,0
10,Antikoerper,0,2,0,0,0,0,0
11,Atlas,0,2,0,0,0,0,0
12,Atome,0,2,0,0,0,0,0
13,Aufschneider,0,2,0,0,0,0,0
14,Aus dem Tagebuch eines Uber Fahrers,0,2,0,0,0,0,0
15,Baal,0,2,0,0,0,0,0
16a,Babylon Berlin Staffel 1,0,2,0,0,0,0,0
16b,Babylon Berlin Staffel 2,0,2,0,0,0,0,0
16c,Babylon Berlin Staffel 3,0,2,0,0,0,0,0
17,Barfuß bis zum Hals,0,2,0,0,0,0,0
18,Beat,0,2,0,0,0,0,0
19,Bella Block: Vorsehung,0,2,0,0,0,0,0
20,Benzin,0,2,0,0,0,0,0
21,Besser als nix,0,2,0,0,0,0,0
22,Betonrausch,0,2,0,0,0,0,0
23,Bettys Diagnose: Turteln und Zwitschern,0,2,0,0,0,0,0
24,Blueprint,0,2,0,0,0,0,0
25,Borgia III,0,2,0,0,0,0,0
26,Boesterreich,0,2,0,0,0,0,0
27,Braunschlag,0,2,0,0,0,0,0
28,Coming In,0,2,0,0,0,0,0
29,Corsage,0,2,0,0,0,0,0
30,Cortex,0,2,0,0,0,0,0
31,Counterpart,0,2,0,0,0,0,0
32,Das Adlon. Eine Familiensaga,0,2,0,0,0,0,0
33a,Das Boot,0,2,0,0,0,0,0
33b,Das Boot: Staffel 2,0,2,0,0,0,0,0
34,Das goldene Ufer,0,2,0,0,0,0,0
35,Das Leben der Anderen,0,2,0,0,0,0,0
36,Das letzte Wort,0,2,0,0,0,0,0
37,Das schoenste Maedchen der Welt,0,2,0,0,0,0,0
38,Das weite Land,0,2,0,0,0,0,0
39,Das Wunder von Lengede,0,2,0,0,0,0,0
40,Der Baader Meinhof Komplex,0,2,0,0,0,0,0
41,Der Flensburg Krimi: Heimkehr,0,2,0,0,0,0,0
42a,Der Kriminalist,0,2,0,0,0,0,0
42b,Der Kriminalist: Schuld und Suehne,0,2,0,0,0,0,0
43,"Der Lehrer: Irgendwelche Notrufe, Alarme, Explosionen?",0,2,0,0,0,0,0
44,Der rote Baron,0,2,0,0,0,0,0
45,Der Stellvertreter,0,2,0,0,0,0,0
46,Der Tiger oder was Frauen lieben,0,2,0,0,0,0,0
47,Der Tote im Eis,0,2,0,0,0,0,0
48,Der Turm,0,2,0,0,0,0,0
49,Der Untergang der Pamir,0,2,0,0,0,0,0
